bike_name,price,city,kms_driven,owner,age,power,brand
31,338,2,78,1,3,5,5
241,146,2,381,1,7,2,2
30,12,119,382,1,4,10,10
77,339,2,295,1,4,5,4
133,102,31,383,1,6,8,2
191,9,105,384,1,7,11,10
157,340,3,385,1,6,5,7
30,16,120,181,1,4,10,10
34,204,30,250,1,3,2,2
66,141,2,386,1,2,5,7
75,59,10,387,2,10,8,2
242,341,62,83,1,2,25,15
228,274,2,6,1,11,5,6
66,119,2,388,1,6,5,7
12,342,70,74,1,2,9,4
28,343,19,24,1,4,14,10
243,7,121,47,1,7,5,7
103,219,36,151,1,10,11,7
81,344,2,389,1,13,7,6
194,22,49,36,1,11,7,7
165,18,122,390,1,2,6,7
2,345,10,137,1,3,2,2
11,346,31,64,1,10,5,4
21,102,109,391,1,2,8,2
6,347,39,11,1,11,5,4
244,146,6,392,1,7,9,10
122,33,10,123,1,6,2,2
87,348,2,250,1,4,25,15
245,349,30,393,1,5,10,7
70,4,123,87,1,3,9,5
48,350,31,208,1,1,13,7
50,11,36,151,1,2,13,7
246,146,2,186,1,1,23,11
81,1,2,83,1,3,7,6
212,351,100,78,1,6,7,1
110,274,11,394,1,12,11,4
28,352,2,13,1,2,14,10
2,353,2,24,2,2,2,2
119,8,124,395,1,6,1,6
69,272,4,78,1,1,14,10
69,82,4,129,1,1,14,10
11,13,125,194,1,4,5,4
173,56,10,37,1,6,23,11
31,39,28,396,1,4,5,5
66,243,36,397,2,2,5,7
55,1,3,398,1,10,4,7
50,4,77,399,1,6,13,7
71,33,28,400,1,6,10,7
2,33,10,401,1,4,2,2
111,52,3,402,3,12,18,6
45,220,2,6,1,5,1,5
247,354,49,403,1,6,7,6
221,355,126,404,1,16,7,6
82,315,127,142,1,9,7,6
43,37,19,405,1,4,11,5
71,16,6,28,1,4,10,7
248,177,28,406,1,7,2,2
95,356,128,404,2,5,10,7
42,226,2,407,2,2,6,1
249,357,2,123,1,3,5,6
165,4,2,408,1,1,6,7
17,21,3,36,1,6,10,7
120,118,10,6,1,10,7,7
111,358,2,194,1,14,18,6
250,118,129,151,1,18,7,7
66,152,2,409,1,6,5,7
12,137,19,410,1,7,9,4
11,39,130,201,1,5,5,4
251,222,131,411,2,16,2,2
81,24,124,412,1,2,7,6
228,28,67,297,1,4,5,6
120,359,28,26,1,10,7,7
119,153,6,413,1,6,1,6
25,274,6,414,1,10,5,7
188,274,6,415,1,10,11,7
13,8,2,67,1,10,10,7
115,360,2,416,1,2,26,7
96,328,2,78,1,2,26,7
81,57,2,15,1,4,7,6
194,43,39,417,1,4,7,7
127,255,2,418,1,1,7,1
94,56,6,419,1,1,5,4
82,117,10,420,1,10,7,6
124,57,6,421,1,1,7,7
2,137,2,87,1,4,2,2
252,361,2,335,1,5,8,2
2,16,2,186,1,5,2,2
43,362,19,422,1,10,11,5
45,57,19,423,1,3,1,5
66,39,30,424,1,2,5,7
17,5,132,425,1,6,10,7
133,363,12,24,2,6,8,2
253,76,11,426,1,6,17,14
119,1,2,427,1,2,1,6
90,77,133,18,1,6,13,7
133,27,4,226,1,1,8,2
254,146,4,428,1,1,8,2
133,177,4,429,1,2,8,2
66,152,3,26,1,2,5,7
251,364,134,28,1,6,2,2
241,365,135,265,1,7,2,2
196,366,109,430,1,6,1,1
25,112,2,171,1,13,5,7
