brand,processor_brand,processor_name,processor_gnrtn,ram_gb,ssd,hdd,os,os_bit,graphic_card_gb,Price,Number of Ratings,Number of Reviews
1,0,0,0,0,2,1,0,0,0,38940,758,64
5,0,0,0,0,2,1,0,0,0,39490,634,64
1,0,0,0,1,2,1,0,0,0,39999,4,0
5,0,0,2,1,2,1,0,0,0,42990,17,2
5,0,0,2,1,2,1,0,0,0,49990,24,5
5,0,0,2,1,2,1,0,0,0,41490,1753,165
5,0,0,2,1,2,1,0,0,0,41990,216,21
1,0,0,2,1,2,1,0,0,0,41990,1084,160
0,0,0,2,1,2,1,0,0,0,38490,19,3
1,0,0,2,0,2,1,0,0,0,38990,106,13
1,0,0,2,0,2,1,0,0,0,44990,42,4
1,0,0,0,0,2,1,0,0,0,36490,0,0
1,0,0,0,1,2,1,0,1,0,38970,0,0
4,0,0,2,0,2,1,0,0,0,44900,1029,107
6,0,0,0,0,2,1,0,0,0,38990,53,11
5,0,0,2,0,2,1,0,0,0,44427,0,0
0,0,0,0,0,2,1,0,0,0,35990,0,0
1,0,0,0,0,2,1,0,0,0,40200,48,1
1,0,0,0,0,2,1,0,1,0,40990,3,0
5,0,0,0,0,2,1,0,0,0,42490,0,0
2,0,2,1,0,0,2,0,1,0,23990,61,4
5,0,0,2,0,2,1,0,0,0,71999,97,13
0,0,0,2,0,2,1,0,0,0,39990,181,19
1,0,0,0,0,2,1,0,0,0,41998,529,39
0,0,0,2,0,2,1,0,1,0,41990,0,0
1,0,0,0,0,2,1,0,0,0,39999,0,0
0,0,0,0,0,2,1,0,1,0,39990,0,0
1,0,0,2,0,2,1,0,0,0,39998,10,1
4,0,0,2,0,2,1,0,0,0,42490,5205,561
1,0,0,0,0,2,1,0,1,0,41990,3,0
0,0,0,2,0,2,1,0,1,0,48490,0,0
4,0,0,2,0,2,1,0,0,0,44376,1090,96
5,0,0,2,0,2,1,0,1,0,43900,0,0
5,0,0,2,0,2,1,0,0,0,46690,0,0
1,0,0,0,0,2,1,0,1,0,40990,1,1
5,0,0,0,0,2,1,0,0,0,39990,44,2
1,0,0,2,0,2,1,0,0,0,43990,0,0
0,0,0,2,0,2,1,0,0,0,36990,70,9
5,0,0,2,1,2,1,0,0,0,48500,0,0
0,0,0,2,1,2,1,0,0,0,48990,0,0
0,0,2,1,0,0,2,0,1,0,23490,632,92
4,0,0,4,0,2,1,0,0,0,54238,71,8
0,0,0,0,1,1,1,0,0,0,37990,990,108
4,0,0,2,1,1,1,0,0,0,42990,158,18
4,0,0,2,1,1,1,0,0,0,42990,681,59
0,0,0,0,0,1,1,0,0,0,35990,130,12
0,0,0,2,1,1,1,0,0,0,42990,30,4
0,0,0,2,1,1,1,0,1,0,51990,6,2
0,0,0,2,1,1,1,0,0,0,48990,174,30
0,0,0,2,1,1,1,0,0,0,42990,40,7
1,0,0,0,1,1,1,0,0,0,38990,13,1
5,0,0,2,1,1,1,0,0,0,45990,184,29
4,0,0,0,1,1,1,0,0,0,42490,1296,126
4,0,0,2,1,1,1,0,0,0,43970,571,56
0,0,0,0,0,1,1,0,0,0,39990,2551,297
6,0,0,2,1,1,1,0,0,0,48990,17,3
4,0,0,2,1,1,1,0,0,0,54990,35,3
6,0,0,0,1,1,1,0,0,0,40990,118,17
0,0,0,2,1,1,1,0,0,0,41990,0,0
1,0,0,2,1,1,1,0,0,0,54990,245,34
0,0,0,2,1,1,1,0,0,0,44990,2058,305
4,0,0,2,1,1,1,0,0,0,41250,117,11
4,0,0,2,1,1,1,0,0,0,44990,0,0
0,0,0,2,1,1,1,0,0,0,42990,74,11
5,0,0,2,1,1,1,0,0,0,60790,10,1
4,0,0,2,1,1,1,0,0,0,45650,39,4
5,0,0,0,1,1,1,0,0,0,41990,29,7
5,0,0,0,1,1,1,0,0,0,45490,43,4
0,0,0,2,1,1,1,0,0,0,44990,0,0
1,0,0,2,1,1,1,0,0,0,42990,984,99
4,0,0,2,0,1,1,0,0,0,45490,523,66
4,0,0,0,0,1,1,0,1,0,38799,30,1
4,0,0,2,0,1,1,0,0,0,69267,0,0
0,0,0,2,0,1,1,0,0,0,51649,0,0
4,0,0,2,0,1,1,0,0,0,47990,1605,215
0,0,0,0,0,1,1,0,0,0,40990,4008,519
0,0,0,0,0,1,1,0,0,0,42990,1869,234
0,0,0,2,0,1,1,0,0,0,44890,7,0
0,0,0,0,0,1,1,0,0,0,41490,4008,519
